,player_id,match_id,player,goals,shots,xG,yellow_cards,red_cards,key_passes,assists,xA,h_a,minutes_played,position,position_order
0,5288,27748,Gregor Kobel,0,0,0,0,0,0,0,0,h,90,GK,1
1,7485,27748,Nico Schlotterbeck,0,2,0.02620670385658741,0,0,1,0,0.028114479035139084,h,90,DC,3
2,75,27748,Niklas Süle,0,2,0.1406863033771515,0,0,1,0,0.019434256479144096,h,90,DC,3
3,106,27748,Waldemar Anton,0,2,0.05424274876713753,0,0,0,0,0,h,90,DC,3
4,7997,27748,Julian Ryerson,0,1,0.04544944316148758,0,0,3,0,0.2429886758327484,h,90,DMR,5
5,9749,27748,Donyell Malen,0,0,0,0,0,0,0,0,h,61,DML,6
6,604,27748,Emre Can,0,0,0,0,0,0,0,0,h,83,MC,9
7,239,27748,Pascal Groß,0,1,0.03837599232792854,0,0,6,1,0.3082628548145294,h,90,MC,9
8,261,27748,Julian Brandt,0,3,0.08622278273105621,0,0,1,0,0.05128427967429161,h,87,AMC,12
9,5248,27748,Marcel Sabitzer,0,5,0.91197270154953,0,0,1,0,0.09759663045406342,h,83,AMC,12
10,10772,27748,Karim Adeyemi,0,2,0.20929035544395447,0,0,2,0,0.6470319032669067,h,61,FW,15
11,9202,27748,Felix Nmecha,0,0,0,0,0,0,0,0,h,7,Sub,17
12,10542,27748,Jamie Bynoe-Gittens,2,2,0.4875698685646057,0,0,1,0,0.08147139102220535,h,29,Sub,17
13,8137,27748,Maximilian Beier,0,0,0,0,0,1,0,0.03863631561398506,h,29,Sub,17
14,3349,27748,Ramy Bensebaini,0,0,0,0,0,1,1,0.42987060546875,h,3,Sub,17
15,8191,27748,Giovanni Reyna,0,0,0,0,0,0,0,0,h,7,Sub,17
16,5288,27753,Gregor Kobel,0,0,0,0,0,0,0,0,a,90,GK,1
17,7997,27753,Julian Ryerson,0,0,0,1,0,1,0,0.09391158074140549,a,90,DR,2
